id_temporada,temporada,id_competicion,estado,formato,numero_de_clubes,total_partidos,partidos_completados,jornada,total_jornadas,progreso,promedio_goles_por_partido,promedio_goles_equipo_local,promedio_goles_equipo_visitante,porcentaje_goles_ambos_equipos,porcentaje_porteria_a_cero,riesgo_prediccion,porcentaje_ventaja_goles_local,porcentaje_ventaja_defensa_local,porcentaje_ventaja_local,promedio_corners_por_partido,promedio_corners_equipo_local,promedio_corners_equipo_visitante,total_corners_temporada,promedio_tarjetas_por_partido,promedio_tarjetas_equipo_local,promedio_tarjetas_equipo_visitante,total_tarjetas_temporada,porcentaje_mas_de_05,porcentaje_mas_de_15,porcentaje_mas_de_25,porcentaje_mas_de_35,porcentaje_mas_de_45,porcentaje_mas_de_55,porcentaje_menos_de_05,porcentaje_menos_de_15,porcentaje_menos_de_25,porcentaje_menos_de_35,porcentaje_menos_de_45,porcentaje_menos_de_55,porcentaje_mas_de_65_corners,porcentaje_mas_de_75_corners,porcentaje_mas_de_85_corners,porcentaje_mas_de_95_corners,porcentaje_mas_de_105_corners,porcentaje_mas_de_115_corners,porcentaje_mas_de_125_corners,porcentaje_mas_de_135_corners,porcentaje_mas_de_05_tarjetas,porcentaje_mas_de_15_tarjetas,porcentaje_mas_de_25_tarjetas,porcentaje_mas_de_35_tarjetas,porcentaje_mas_de_45_tarjetas,porcentaje_mas_de_55_tarjetas,porcentaje_mas_de_65_tarjetas,porcentaje_mas_de_75_tarjetas,goles_min_0_a_10,goles_min_11_a_20,goles_min_21_a_30,goles_min_31_a_40,goles_min_41_a_50,goles_min_51_a_60,goles_min_61_a_70,goles_min_71_a_80,goles_min_81_a_90,goles_min_0_a_15,goles_min_16_a_30,goles_min_31_a_45,goles_min_46_a_60,goles_min_61_a_75,goles_min_76_a_90,xg_promedio_por_partido
17/18_LaLiga1,2017/2018,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.69,1.55,1.15,47,61,69,35,26,31,9.81,5.61,4.2,3726,5.21,2.44,2.77,1978,93,71,51,28,14,7,7,28,49,72,86,93,86,76,65,53,40,27,19,12,99,96,86,73,57,41,27,17,75,93,108,111,97,122,115,122,181,119,157,160,170,168,250,3.01
18/19_LaLiga1,2018/2019,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.59,1.45,1.13,52,56,63,28,22,25,9.59,5.57,4.02,3643,5.34,2.6,2.74,2029,93,74,47,25,12,5,7,26,53,75,88,95,84,74,61,50,37,26,18,12,100,96,90,78,61,43,28,18,63,94,78,102,106,123,113,111,193,105,130,167,164,166,251,2.8
19/20_LaLiga1,2019/2020,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.48,1.44,1.04,50,59,62,38,28,33,9.24,5.04,4.19,3510,5.38,2.67,2.71,2045,91,73,46,22,10,4,9,27,54,78,90,96,79,68,56,47,35,23,16,9,99,95,88,77,62,45,31,18,63,107,82,83,125,96,107,111,168,124,128,148,156,157,229,2.91
20/21_LaLiga1,2020/2021,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.51,1.37,1.14,52,56,66,20,17,19,8.73,4.43,4.3,3318,4.71,2.29,2.42,1789,92,73,44,25,10,4,8,27,56,75,90,96,76,63,51,37,26,19,11,8,97,93,82,67,50,35,22,12,81,97,89,100,116,99,105,106,160,130,137,172,143,158,213,2.74
21/22_LaLiga1,2021/2022,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.5,1.42,1.08,49,63,60,31,24,28,9.41,5.21,4.21,3577,5.47,2.69,2.79,2080,89,69,44,26,13,6,11,31,56,74,87,94,82,73,63,48,35,22,15,10,99,96,87,75,61,47,31,20,78,94,85,91,110,109,93,101,190,130,127,158,152,136,248,3.05
22/23_LaLiga1,2022/2023,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.51,1.46,1.06,50,56,61,38,27,33,9.51,5.53,3.98,3615,5.51,2.64,2.87,2093,93,71,48,23,11,5,7,28,52,77,89,95,81,70,57,50,38,26,17,12,98,94,86,74,61,45,33,24,91,73,89,87,138,100,101,112,164,121,132,172,153,164,213,3.06
23/24_LaLiga1,2023/2024,LaLiga1,Completado,Liga,20,380,380,38,38,100,2.64,1.48,1.16,49,59,66,28,22,25,9.35,5.31,4.04,3552,5.1,2.51,2.58,1937,92,72,46,27,16,8,8,28,54,73,84,92,81,73,61,45,34,25,15,10,99,94,85,69,56,42,27,16,87,90,102,85,139,110,120,91,181,136,143,176,158,165,227,2.74
23/24_1RFEF1,2023/2024,1RFEF1,En Progreso,Liga,20,380,210,22,38,55,2.08,1.2,0.88,44,67,41,36,27,32,9.03,4.94,4.09,1879,2.45,1.13,1.32,76,89,64,37,12,5,1,11,36,63,88,95,99,82,68,55,40,32,22,14,10,45,45,45,32,28,19,13,6,38,33,38,41,58,48,42,53,84,54,55,75,72,74,105,2.82
23/24_1RFEF2,2023/2024,1RFEF2,En Progreso,Liga,20,380,210,22,38,55,2.27,1.29,0.99,44,69,52,30,23,27,8.87,5.01,3.87,1739,3.74,2.0,1.74,71,87,63,41,19,12,4,13,37,59,81,88,96,80,65,52,40,27,20,10,8,63,63,63,57,53,42,16,11,32,37,59,51,55,59,60,47,76,51,77,78,87,83,100,2.83
09/10_LaLiga2,2009/2010,LaLiga2,Completado,Liga,22,462,462,42,42,100,2.41,1.39,1.02,50,61,66,36,27,32,0.0,0.0,0.0,0,6.67,3.13,3.54,3055,89,69,42,25,11,3,11,31,57,75,89,97,0,0,0,0,0,0,0,0,100,98,95,87,79,68,52,37,78,88,110,115,146,132,132,122,191,121,155,190,203,182,263,0.0
