id_partido,id_competicion,id_temporada,fecha,id_equipo_local,id_equipo_visitante,jornada,goles_equipo_local,goles_equipo_visitante
,CopaReyESP,15/16_CopaReyESP,2015-09-02,499,576,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-02,696,690,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-02,674,526,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,698,576,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,693,524,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-09-09,515,685,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-09,481,480,,3,3
,CopaReyESP,15/16_CopaReyESP,2015-09-09,700,672,,3,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,517,692,,3,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,488,493,,2,2
,CopaReyESP,15/16_CopaReyESP,2015-09-09,463,492,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-09,479,489,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,485,472,,1,2
,CopaReyESP,15/16_CopaReyESP,2015-09-09,580,495,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,487,494,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,490,462,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,574,526,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,514,613,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-09-09,697,657,,2,4
,CopaReyESP,15/16_CopaReyESP,2015-09-09,522,704,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-09-09,676,696,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-09,695,513,,0,2
,CopaReyESP,15/16_CopaReyESP,2015-09-09,594,687,,3,2
,CopaReyESP,15/16_CopaReyESP,2015-09-09,491,482,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-09-10,483,486,,0,2
,CopaReyESP,15/16_CopaReyESP,2015-10-14,517,515,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-10-14,657,514,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-10-14,576,700,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-10-14,481,488,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-10-14,463,462,,3,1
,CopaReyESP,15/16_CopaReyESP,2015-10-14,491,485,,2,3
,CopaReyESP,15/16_CopaReyESP,2015-10-14,676,574,,2,2
,CopaReyESP,15/16_CopaReyESP,2015-10-14,513,693,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-10-14,594,522,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-10-15,494,489,,1,0
,CopaReyESP,15/16_CopaReyESP,2015-10-15,484,580,,1,2
,CopaReyESP,15/16_CopaReyESP,2015-10-28,594,457,,0,0
,CopaReyESP,15/16_CopaReyESP,2015-12-01,657,460,,1,2
,CopaReyESP,15/16_CopaReyESP,2015-12-01,463,467,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-12-02,457,594,,6,1
,CopaReyESP,15/16_CopaReyESP,2015-12-02,580,471,,1,2
,CopaReyESP,15/16_CopaReyESP,2015-12-02,469,474,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-12-02,676,459,,0,3
,CopaReyESP,15/16_CopaReyESP,2015-12-02,476,478,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-12-02,517,473,,1,3
,CopaReyESP,15/16_CopaReyESP,2015-12-02,481,466,,1,3
,CopaReyESP,15/16_CopaReyESP,2015-12-02,576,458,,1,3
,CopaReyESP,15/16_CopaReyESP,2015-12-03,513,470,,0,2
,CopaReyESP,15/16_CopaReyESP,2015-12-03,477,465,,1,1
,CopaReyESP,15/16_CopaReyESP,2015-12-03,494,464,,3,0
,CopaReyESP,15/16_CopaReyESP,2015-12-03,485,468,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-12-03,486,456,,3,2
,CopaReyESP,15/16_CopaReyESP,2015-12-03,461,475,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-12-15,471,580,,1,1
,CopaReyESP,15/16_CopaReyESP,2015-12-15,474,469,,3,3
,CopaReyESP,15/16_CopaReyESP,2015-12-15,459,676,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-12-15,465,477,,2,1
,CopaReyESP,15/16_CopaReyESP,2015-12-16,478,476,,3,1
,CopaReyESP,15/16_CopaReyESP,2015-12-16,470,513,,6,0
,CopaReyESP,15/16_CopaReyESP,2015-12-16,464,494,,4,0
,CopaReyESP,15/16_CopaReyESP,2015-12-16,473,517,,2,0
,CopaReyESP,15/16_CopaReyESP,2015-12-16,468,485,,0,1
,CopaReyESP,15/16_CopaReyESP,2015-12-16,475,461,,1,1
,CopaReyESP,15/16_CopaReyESP,2015-12-16,458,576,,0,0
,CopaReyESP,15/16_CopaReyESP,2015-12-17,460,657,,1,0
